Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1972-02-01,,,,,,,,,,3.43,
1972-02-02,,3.45,,,,,,,,3.4,
1972-02-03,,,,,,,,,,3.37,
1972-02-04,,,,,,,,,,3.24,
1972-02-07,,,,,,,,,,3.1,
1972-02-08,,,,,,,,,,3.19,
1972-02-09,,3.5,,,,,,,,3.16,
1972-02-10,,,,,,,,,,3.06,
1972-02-11,,,,,,,,,,2.99,
1972-02-14,,,,,,,,,,3,
1972-02-15,,,,,,,,,,3.06,
1972-02-16,,3.44,,,,,,,,3.06,
1972-02-17,,,,,,,,,,3.04,
1972-02-18,,,,,,,,,,3.1,
1972-02-22,,,,,,,,,,3.17,
1972-02-23,,3.47,,,,,,,,3.18,
1972-02-24,,,,,,,,,,3.2,
1972-02-25,,,,,,,,,,3.36,
1972-02-28,,,,,,,,,,3.37,
1972-02-29,4.63,,5.41,2.75,6.04,,4,4.37,4.66,3.46,3.75
1972-03-01,,3.52,,,,,,,,3.47,
1972-03-02,,,,,,,,,,3.48,
1972-03-03,,,,,,,,,,3.49,
1972-03-06,,,,,,,,,,3.5,
1972-03-07,,,,,,,,,,3.56,
1972-03-08,,3.4,,,,,,,,3.56,
1972-03-09,,,,,,,,,,3.59,
1972-03-10,,,,,,,,,,3.64,
1972-03-13,,,,,,,,,,3.75,
1972-03-14,,,,,,,,,,3.89,
1972-03-15,,3.42,,,,,,,,3.94,
1972-03-16,,,,,,,,,,3.9,
1972-03-17,,,,,,,,,,3.88,
1972-03-20,,,,,,,,,,3.87,
1972-03-21,,,,,,,,,,3.87,
1972-03-22,,3.54,,,,,,,,3.77,
1972-03-23,,,,,,,,,,3.78,
1972-03-24,,,,,,,,,,3.8,
1972-03-27,,,,,,,,,,3.77,
1972-03-28,,,,,,,,,,3.84,
1972-03-29,,3.55,,,,,,,,3.87,
1972-03-30,,,,,,,,,,3.83,
1972-03-31,4.63,,4.97,2.75,6.04,,3.5,4.34,4.66,,3.75
1972-04-03,,,,,,,,,,3.79,
1972-04-04,,,,,,,,,,3.84,
1972-04-05,,3.55,,,,,,,,3.82,
1972-04-06,,,,,,,,,,3.8,
1972-04-07,,,,,,,,,,3.8,
1972-04-10,,,,,,,,,,3.75,
1972-04-11,,,,,,,,,,3.82,
1972-04-12,,3.65,,,,,,,,3.82,
1972-04-13,,,,,,,,,,3.86,
1972-04-14,,,,,,,,,,3.84,
1972-04-17,,,,,,,,,,3.85,
1972-04-18,,,,,,,,,,3.68,
1972-04-19,,3.69,,,,,,,,3.64,
1972-04-20,,,,,,,,,,3.57,
1972-04-21,,,,,,,,,,3.47,
1972-04-24,,,,,,,,,,3.46,
1972-04-25,,,,,,,,,,3.55,
1972-04-26,,3.64,,,,,,,,3.58,
1972-04-27,,,,,,,,,,3.54,
1972-04-28,,,,,,,,,,3.63,
1972-04-30,4.63,,5.11,2.75,6.04,,3.5,4.3,4.66,,3.75
1972-05-01,,,,,,,,,,3.62,
1972-05-02,,,,,,,,,,3.65,
1972-05-03,,3.62,,,,,,,,3.6,
1972-05-04,,,,,,,,,,3.54,
1972-05-05,,,,,,,,,,3.42,
1972-05-08,,,,,,,,,,3.44,
1972-05-09,,,,,,,,,,3.65,
1972-05-10,,3.62,,,,,,,,3.62,
1972-05-11,,,,,,,,,,3.62,
